Generation,Best,Mean,Low
634,422,319.796,0
635,422,325.852,0
636,422,319.319,0
637,422,321.561,0
638,422,315.222,0
639,422,320.854,0
640,422,326.203,0
641,422,316.24,0
642,422,319.113,0
643,422,322.776,0
644,422,316.842,0
645,422,320.081,0
646,422,325.842,0
647,422,316.939,0
648,422,321.189,0
649,422,317.393,0
650,422,320.471,0
651,422,326.597,0
652,422,316.612,0
653,422,315.85,0
654,422,317.772,0
655,422,320.615,0
656,422,326.268,0
657,422,318.572,0
658,422,319.215,0
659,422,324.996,0
660,422,316.945,0
661,422,318.189,0
662,422,322.334,0
663,422,318.428,0
664,422,319.737,0
665,422,325.382,0
666,422,319.479,0
667,422,322.539,0
668,422,320.769,0
669,422,321.601,0
670,422,326.888,0
671,422,319.508,0
672,422,320.995,0
673,422,327.132,0
674,422,316.448,0
675,422,319.112,0
676,422,320.266,0
677,422,321.843,0
678,422,317.862,0
679,422,320.002,0
680,422,325.585,0
681,422,317.152,0
682,422,322.093,0
683,422,315.96,0
684,422,317.519,0
685,422,320.618,0
686,422,325.931,0
687,422,317.713,0
688,422,318.122,0
689,422,320.548,0
690,422,319.185,0
691,422,324.032,0
692,422,317.397,0
693,422,317.268,0
694,422,323.778,0
695,422,317.791,0
696,422,320.405,0
697,422,325.871,0
698,422,318.834,0
699,422,320.582,0
700,422,326.675,0
701,422,315.754,0
702,422,321.116,0
703,422,315.118,0
704,422,320.175,0
705,422,319.418,0
706,422,325.931,0
707,422,317.673,0
708,422,317.394,0
709,422,324.12,0
710,422,318.064,0
711,422,318.021,0
712,422,320.35,0
713,422,325.748,0
714,422,317.968,0
715,422,315.881,0
716,422,318.312,0
717,422,324.763,0
718,422,316.088,0
719,422,319.45,0
720,422,316.84,0
721,422,322.536,0
722,422,315.81,0
723,422,319.745,0
724,422,325.963,0
725,422,317.489,0
726,422,317.872,0
727,422,323.134,0
728,422,317.887,0
729,422,317.951,0
730,422,323.966,0
731,422,317.697,0
732,422,320.504,0
733,422,325.828,0
734,422,317.304,0
735,422,320.972,0
736,422,326.791,0
737,422,317.679,0
738,422,321.737,0
739,422,316.538,0
740,422,321.474,0
741,422,319.592,0
742,422,320.414,0
743,422,325.865,0
744,422,316.043,0
745,422,320.352,0
746,422,326.487,0
747,422,317.529,0
748,422,316.457,0
749,422,317.903,0
750,422,324.349,0
751,422,317.035,0
752,422,319.831,0
753,422,326.087,0
754,422,318.818,0
755,422,320.538,0
756,422,327.16,0
757,422,316.349,0
758,422,320.145,0
759,422,319.513,0
760,422,323.08,0
761,422,318.024,0
762,422,321.226,0
763,422,317.652,0
764,422,320.326,0
765,422,326.84,0
766,422,317.774,0
767,422,320.808,0
768,422,326.837,0
769,422,317.601,0
770,422,320.963,0
771,422,326.947,0
772,422,318.795,0
773,422,321.63,0
774,422,326.581,0
775,422,318.067,0
776,422,321.704,0
777,422,316.333,0
778,422,318.652,0
779,422,325.028,0
780,422,316.673,0
781,422,322.331,0
782,422,316.533,0
783,422,321.849,0
784,422,326.89,0
785,422,317.142,0
786,422,316.535,0
787,422,322.953,0
788,422,317.748,0
789,422,320.284,0
790,422,326.171,0
791,422,316.06,0
792,422,321.132,0
793,422,317.04,0
794,422,320.388,0
795,422,325.83,0
796,422,316.728,0
797,422,320.319,0
798,422,326.813,0
799,422,317.243,0
800,422,322.475,0
801,422,316.622,0
802,422,320.397,0
803,422,324.93,0
804,422,317.617,0
805,422,320.906,0
806,422,326.679,0
807,422,318.258,0
808,422,321.701,0
809,422,315.635,0
810,422,320.926,0
811,422,326.359,0
812,422,317.586,0
813,422,321.057,0
814,422,316.992,0
815,422,320.365,0
816,422,325.841,0
817,422,317.514,0
818,422,321.084,0
819,422,317.581,0
820,422,319.206,0
821,422,320.185,0
822,422,325.07,0
823,422,316.954,0
824,422,316.562,0
825,422,323.185,0
826,422,317.255,0
827,422,320.891,0
828,422,325.675,0
829,422,316.916,0
830,422,321.332,0
831,422,316.658,0
832,422,320.293,0
833,422,326.304,0
834,422,317.472,0
835,422,321.202,0
836,422,316.045,0
837,422,320.305,0
838,422,325.674,0
839,422,316.651,0
840,422,321.08,0
841,422,315.137,0
842,422,319.431,0
843,422,326.178,0
844,422,317.739,0
845,422,317.293,0
846,422,323.623,0
847,422,327.698,0
848,422,316.665,0
849,422,318.587,0
850,422,319.462,0
851,422,325.256,0
852,422,316.856,0
853,422,319.594,0
854,422,325.746,0
855,422,318.533,0
856,422,318.912,0
857,422,324.904,0
858,422,318.469,0
859,422,320.923,0
860,422,320.027,0
861,422,323.478,0
862,422,315.889,0
863,422,320.631,0
864,422,326.229,0
865,422,317.424,0
866,422,321.562,0
867,422,316.276,0
868,422,321,0
869,422,326.284,0
870,422,317.118,0
871,422,321.099,0
872,422,327.052,0
873,422,318.895,0
874,422,321.107,0
875,422,327.326,0
876,422,319.438,0
877,422,321.331,0
878,422,315.886,0
879,422,320.414,0
880,422,325.79,0
881,422,317.548,0
882,422,321.654,0
883,422,316.735,0
884,422,320.741,0
885,422,326.558,0
886,422,316.426,0
887,422,321.043,0
888,422,315.726,0
889,422,319.969,0
890,422,327.006,0
891,422,318.594,0
892,422,322.397,0
893,422,326.809,0
894,422,318.526,0
895,422,321.652,0
896,422,326.635,0
897,422,318.729,0
898,422,321.411,0
899,422,326.615,0
900,422,317.232,0
901,422,321.755,0
902,422,326.894,0
903,422,319.527,0
904,422,321.84,0
905,422,327.984,0
906,422,318.196,0
907,422,324.242,0
908,422,328.757,0
909,422,316.78,0
910,422,315.586,0
911,422,316.418,0
912,422,315.52,0
913,422,314.712,0
914,422,316.447,0
915,422,317.904,0
916,422,321.386,0
917,422,318.781,0
918,422,317.029,0
919,422,320.215,0
920,422,319.012,0
921,422,317.739,0
922,422,322.719,0
923,422,315.629,0
924,422,316.287,0
925,422,316.138,0
926,422,324.236,0
927,422,317.099,0
928,422,317.351,0
929,422,318.176,0
930,422,324.537,0
931,422,316.645,0
932,422,318.12,0
933,422,324.656,0
934,422,315.932,0
935,422,318.816,0
936,422,315.32,0
937,422,321.433,0
938,422,320.516,0
939,422,326.686,0
940,422,315.761,0
941,422,315.509,0
942,422,316.982,0
943,422,317.404,0
944,422,320.033,0
945,422,321.941,0
946,422,320.104,0
947,422,317.744,0
948,422,319.583,0
949,422,324.763,0
950,422,316.791,0
951,422,316.879,0
952,422,316.94,0
953,422,319.252,0
954,422,322.507,0
955,422,317.682,0
956,422,319.471,0
957,422,320.783,0
958,422,325.665,0
959,422,315.049,0
960,422,319.203,0
961,422,320.377,0
962,422,322.762,0
963,422,324.929,0
964,422,316.372,0
965,422,315.394,0
966,422,322.879,0
967,422,318.124,0
968,422,320.304,0
969,422,320.09,0
970,422,325.831,0
971,422,316.194,0
972,422,317.687,0
973,422,322.082,0
974,422,316.502,0
975,422,317.462,0
976,422,325.403,0
977,422,317.59,0
978,422,317.718,0
979,422,323.315,0
980,422,320.946,0
981,422,322.143,0
982,422,321.747,0
983,422,325.105,0
984,422,323.186,0
985,422,327.169,0
986,422,316.443,0
987,422,317.051,0
988,422,320.42,0
989,422,320.359,0
990,422,324.53,0
991,422,320.033,0
992,422,316.218,0
993,422,324.264,0
994,422,317.91,0
995,422,317.955,0
996,422,324.295,0
997,422,317.781,0
998,422,319.298,0
999,422,319.298,0
