Controller,Input,Set,Height,CentreX,Left Base,Right Base,Left Top,Right Top
38,1,2,1,30,24,0,12,0
39,0,0,1,0,0,415,0,169
39,0,1,1,500,375,354,202,245
39,0,2,1,1000,410,0,208,0
39,1,0,1,-30,0,24,0,9
39,1,1,1,0,21,21,12,14
39,1,2,1,30,24,0,12,0
40,0,0,1,0,0,407,0,184
40,0,1,1,500,408,425,126,185
40,0,2,1,1000,371,0,208,0
40,1,0,1,-30,0,24,0,9
40,1,1,1,0,21,21,12,14
40,1,2,1,30,24,0,12,0
41,0,0,1,0,0,389,0,165
41,0,1,1,500,365,438,228,173
41,0,2,1,1000,419,0,237,0
41,1,0,1,-30,0,24,0,9
41,1,1,1,0,21,21,12,14
41,1,2,1,30,24,0,12,0
42,0,0,1,0,0,407,0,179
42,0,1,1,500,408,425,126,185
42,0,2,1,1000,371,0,208,0
42,1,0,1,-30,0,21,0,9
42,1,1,1,0,25,23,10,12
42,1,2,1,30,25,0,12,0
43,0,0,1,0,0,389,0,165
43,0,1,1,500,365,438,228,173
43,0,2,1,1000,419,0,245,0
43,1,0,1,-30,0,24,0,9
43,1,1,1,0,21,21,13,13
43,1,2,1,30,24,0,12,0
44,0,0,1,0,0,419,0,222
44,0,1,1,500,365,385,241,159
44,0,2,1,1000,387,0,227,0
44,1,0,1,-30,0,24,0,9
44,1,1,1,0,21,21,12,14
44,1,2,1,30,24,0,12,0
45,0,0,1,0,0,419,0,222
45,0,1,1,500,365,385,200,200
45,0,2,1,1000,387,0,227,0
45,1,0,1,-30,0,21,0,10
45,1,1,1,0,25,23,10,12
45,1,2,1,30,24,0,12,0
46,0,0,1,0,0,381,0,226
46,0,1,1,500,364,401,154,189
46,0,2,1,1000,432,0,229,0
46,1,0,1,-30,0,24,0,9
46,1,1,1,0,21,21,12,14
46,1,2,1,30,24,0,12,0
47,0,0,1,0,0,419,0,222
47,0,1,1,500,365,385,200,200
47,0,2,1,1000,387,0,227,0
47,1,0,1,-30,0,24,0,9
47,1,1,1,0,21,21,12,14
47,1,2,1,30,24,0,12,0
48,0,0,1,0,0,383,0,162
48,0,1,1,500,375,437,159,232
48,0,2,1,1000,425,0,254,0
48,1,0,1,-30,0,26,0,13
48,1,1,1,0,24,25,14,9
48,1,2,1,30,26,0,14,0
49,0,0,1,0,0,407,0,184
49,0,1,1,500,408,425,126,185
49,0,2,1,1000,371,0,222,0
49,1,0,1,-30,0,23,0,13
49,1,1,1,0,24,21,9,11
49,1,2,1,30,23,0,10,0
50,0,0,1,0,0,407,0,184
50,0,1,1,500,408,425,126,185
50,0,2,1,1000,371,0,222,0
50,1,0,1,-30,0,24,0,13
50,1,1,1,0,22,22,10,10
50,1,2,1,30,27,0,12,0
51,0,0,1,0,0,412,0,156
51,0,1,1,500,365,359,188,234
51,0,2,1,1000,435,0,216,0
51,1,0,1,-30,0,24,0,9
51,1,1,1,0,21,21,12,14
51,1,2,1,30,24,0,12,0
52,0,0,1,0,0,419,0,182
52,0,1,1,500,331,419,200,200
52,0,2,1,1000,387,0,227,0
52,1,0,1,-30,0,24,0,9
52,1,1,1,0,21,21,14,16
52,1,2,1,30,24,0,12,0
53,0,0,1,0,0,407,0,184
53,0,1,1,500,408,425,126,185
53,0,2,1,1000,343,0,208,0
53,1,0,1,-30,0,21,0,9
53,1,1,1,0,25,23,10,12
53,1,2,1,30,24,0,12,0
54,0,0,1,0,0,361,0,195
54,0,1,1,500,362,373,215,259
54,0,2,1,1000,396,0,220,0
54,1,0,1,-30,0,22,0,13
54,1,1,1,0,24,21,9,10
54,1,2,1,30,25,0,14,0
55,0,0,1,0,0,440,0,209
55,0,1,1,500,427,445,229,179
55,0,2,1,1000,441,0,229,0
55,1,0,1,-30,0,22,0,10
55,1,1,1,0,25,23,11,11
55,1,2,1,30,25,0,9,0
56,0,0,1,0,0,412,0,156
56,0,1,1,500,365,359,188,234
56,0,2,1,1000,435,0,216,0
56,1,0,1,-30,0,24,0,9
56,1,1,1,0,19,19,12,14
56,1,2,1,30,24,0,12,0
57,0,0,1,0,0,411,0,222
57,0,1,1,500,365,385,200,200
57,0,2,1,1000,387,0,227,0
57,1,0,1,-30,0,24,0,9
57,1,1,1,0,21,21,12,14
57,1,2,1,30,24,0,12,0
58,0,0,1,0,0,419,0,222
58,0,1,1,500,354,396,200,200
58,0,2,1,1000,387,0,227,0
58,1,0,1,-30,0,22,0,10
58,1,1,1,0,26,21,11,13
58,1,2,1,30,25,0,11,0
59,0,0,1,0,0,361,0,195
59,0,1,1,500,362,373,238,282
59,0,2,1,1000,396,0,220,0
59,1,0,1,-30,0,24,0,9
59,1,1,1,0,25,23,10,12
59,1,2,1,30,24,0,11,0
60,0,0,1,0,0,419,0,222
60,0,1,1,500,365,385,200,200
60,0,2,1,1000,387,0,227,0
60,1,0,1,-30,0,24,0,9
60,1,1,1,0,21,21,12,14
60,1,2,1,30,24,0,12,0
61,0,0,1,0,0,407,0,184
61,0,1,1,500,408,425,109,202
61,0,2,1,1000,371,0,208,0
61,1,0,1,-30,0,24,0,9
61,1,1,1,0,21,21,12,14
61,1,2,1,30,24,0,12,0
62,0,0,1,0,0,386,0,207
62,0,1,1,500,432,417,225,198
62,0,2,1,1000,410,0,209,0
62,1,0,1,-30,0,22,0,13
62,1,1,1,0,24,21,9,10
62,1,2,1,30,25,0,14,0
63,0,0,1,0,0,407,0,184
63,0,1,1,500,408,425,105,206
63,0,2,1,1000,371,0,254,0
63,1,0,1,-30,0,24,0,9
63,1,1,1,0,21,21,12,14
63,1,2,1,30,24,0,12,0
64,0,0,1,0,0,419,0,198
64,0,1,1,500,365,385,200,200
64,0,2,1,1000,387,0,227,0
64,1,0,1,-30,0,24,0,9
64,1,1,1,0,21,21,12,14
64,1,2,1,30,24,0,12,0
65,0,0,1,0,0,419,0,227
65,0,1,1,500,365,385,200,200
65,0,2,1,1000,449,0,227,0
65,1,0,1,-30,0,24,0,9
65,1,1,1,0,21,21,12,14
65,1,2,1,30,24,0,12,0
66,0,0,1,0,0,419,0,227
66,0,1,1,500,365,385,200,200
66,0,2,1,1000,387,0,227,0
66,1,0,1,-30,0,22,0,12
66,1,1,1,0,24,21,10,11
66,1,2,1,30,25,0,14,0
67,0,0,1,0,0,446,0,179
67,0,1,1,500,408,425,126,185
67,0,2,1,1000,371,0,208,0
67,1,0,1,-30,0,21,0,9
67,1,1,1,0,25,23,10,12
67,1,2,1,30,25,0,12,0
68,0,0,1,0,0,407,0,179
68,0,1,1,500,408,425,126,185
68,0,2,1,1000,371,0,208,0
68,1,0,1,-30,0,26,0,9
68,1,1,1,0,21,21,12,14
68,1,2,1,30,24,0,10,0
69,0,0,1,0,0,447,0,190
69,0,1,1,500,401,436,159,180
69,0,2,1,1000,383,0,164,0
69,1,0,1,-30,0,22,0,14
69,1,1,1,0,24,21,13,13
69,1,2,1,30,25,0,10,0
70,0,0,1,0,0,446,0,222
70,0,1,1,500,365,385,200,200
70,0,2,1,1000,387,0,227,0
70,1,0,1,-30,0,24,0,9
70,1,1,1,0,21,21,12,14
70,1,2,1,30,24,0,12,0
71,0,0,1,0,0,447,0,153
71,0,1,1,500,401,436,159,180
71,0,2,1,1000,383,0,151,0
71,1,0,1,-30,0,23,0,11
71,1,1,1,0,26,23,13,14
71,1,2,1,30,25,0,11,0
72,0,0,1,0,0,412,0,156
72,0,1,1,500,365,359,188,234
72,0,2,1,1000,435,0,216,0
72,1,0,1,-30,0,24,0,9
72,1,1,1,0,21,21,12,14
72,1,2,1,30,24,0,12,0
73,0,0,1,0,0,426,0,218
73,0,1,1,500,364,401,154,189
73,0,2,1,1000,418,0,229,0
73,1,0,1,-30,0,24,0,9
73,1,1,1,0,21,21,12,14
73,1,2,1,30,24,0,12,0
74,0,0,1,0,0,419,0,222
74,0,1,1,500,365,385,203,203
74,0,2,1,1000,387,0,227,0
74,1,0,1,-30,0,24,0,9
74,1,1,1,0,21,21,12,14
74,1,2,1,30,24,0,12,0
75,0,0,1,0,0,407,0,179
75,0,1,1,500,408,425,126,185
75,0,2,1,1000,371,0,208,0
75,1,0,1,-30,0,25,0,14
75,1,1,1,0,24,24,13,9
75,1,2,1,30,22,0,14,0
76,0,0,1,0,0,386,0,207
76,0,1,1,500,432,417,225,198
76,0,2,1,1000,410,0,224,0
76,1,0,1,-30,0,22,0,10
76,1,1,1,0,24,25,12,11
76,1,2,1,30,23,0,13,0
77,0,0,1,0,0,419,0,222
77,0,1,1,500,326,346,200,200
77,0,2,1,1000,387,0,227,0
77,1,0,1,-30,0,24,0,9
77,1,1,1,0,21,21,12,14
77,1,2,1,30,24,0,12,0
78,0,0,1,0,0,419,0,222
78,0,1,1,500,365,385,200,200
78,0,2,1,1000,387,0,227,0
78,1,0,1,-30,0,24,0,9
78,1,1,1,0,22,20,12,14
78,1,2,1,30,24,0,12,0
79,0,0,1,0,0,369,0,247
79,0,1,1,500,381,397,194,157
79,0,2,1,1000,404,0,189,0
79,1,0,1,-30,0,23,0,13
79,1,1,1,0,25,24,12,12
79,1,2,1,30,25,0,9,0
80,0,0,1,0,0,419,0,222
80,0,1,1,500,365,385,200,200
80,0,2,1,1000,387,0,227,0
80,1,0,1,-30,0,24,0,9
80,1,1,1,0,21,21,12,14
80,1,2,1,30,24,0,12,0
81,0,0,1,0,0,447,0,190
81,0,1,1,500,401,436,159,180
81,0,2,1,1000,383,0,164,0
81,1,0,1,-30,0,21,0,9
