Controller,Rule,Input Variable 1,Input Set 1,Modifier,Input Variable 2,Input Set 2,Output Value
42,5,0,1,AND,1,2,1.42308
42,6,0,2,AND,1,0,0.432752
42,7,0,2,AND,1,1,0.280465
42,8,0,2,AND,1,2,4.56099
43,0,0,0,AND,1,0,6.14002
43,1,0,0,AND,1,1,1.91137
43,2,0,0,AND,1,2,8.0398
43,3,0,1,AND,1,0,6.50533
43,4,0,1,AND,1,1,2.53609
43,5,0,1,AND,1,2,1.42308
43,6,0,2,AND,1,0,0.393078
43,7,0,2,AND,1,1,1.93731
43,8,0,2,AND,1,2,1.20701
44,0,0,0,AND,1,0,6.14002
44,1,0,0,AND,1,1,1.91137
44,2,0,0,AND,1,2,8.0398
44,3,0,1,AND,1,0,6.50533
44,4,0,1,AND,1,1,2.53609
44,5,0,1,AND,1,2,1.42308
44,6,0,2,AND,1,0,0.432752
44,7,0,2,AND,1,1,1.00314
44,8,0,2,AND,1,2,9.35392
45,0,0,0,AND,1,0,6.14002
45,1,0,0,AND,1,1,1.91137
45,2,0,0,AND,1,2,8.0398
45,3,0,1,AND,1,0,6.50533
45,4,0,1,AND,1,1,2.53609
45,5,0,1,AND,1,2,1.42308
45,6,0,2,AND,1,0,0.432752
45,7,0,2,AND,1,1,1.00314
45,8,0,2,AND,1,2,4.9733
46,0,0,0,AND,1,0,6.14002
46,1,0,0,AND,1,1,1.91137
46,2,0,0,AND,1,2,8.0398
46,3,0,1,AND,1,0,6.50533
46,4,0,1,AND,1,1,2.53609
46,5,0,1,AND,1,2,1.42308
46,6,0,2,AND,1,0,9.80377
46,7,0,2,AND,1,1,0.711386
46,8,0,2,AND,1,2,8.52657
47,0,0,0,AND,1,0,6.14002
47,1,0,0,AND,1,1,1.91137
47,2,0,0,AND,1,2,8.0398
47,3,0,1,AND,1,0,6.50533
47,4,0,1,AND,1,1,2.53609
47,5,0,1,AND,1,2,1.42308
47,6,0,2,AND,1,0,0.432752
47,7,0,2,AND,1,1,1.00314
47,8,0,2,AND,1,2,9.06369
48,0,0,0,AND,1,0,8.40175
48,1,0,0,AND,1,1,2.87301
48,2,0,0,AND,1,2,9.03867
48,3,0,1,AND,1,0,6.60634
48,4,0,1,AND,1,1,3.29478
48,5,0,1,AND,1,2,1.6126
48,6,0,2,AND,1,0,9.80377
48,7,0,2,AND,1,1,0.711386
48,8,0,2,AND,1,2,1.83508
49,0,0,0,AND,1,0,5.24674
49,1,0,0,AND,1,1,5.03769
49,2,0,0,AND,1,2,6.94754
49,3,0,1,AND,1,0,4.22285
49,4,0,1,AND,1,1,3.61034
49,5,0,1,AND,1,2,3.3607
49,6,0,2,AND,1,0,3.17026
49,7,0,2,AND,1,1,0.148625
49,8,0,2,AND,1,2,2.43477
50,0,0,0,AND,1,0,5.24674
